"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ORMDL2",9.68336997650717e-136,0.301608919521014,0.291,0.039,2.11620367466588e-131,"8","ORMDL2"
"AP1S3",1.28715638883525e-135,0.398192634458833,0.316,0.046,2.81295157216056e-131,"8","AP1S3"
"HNRNPA1P54",1.65644546397598e-135,0.492359508878394,0.256,0.031,3.61999591697311e-131,"8","HNRNPA1P54"
"HEBP2",2.4744564956978e-135,0.27868155116995,0.311,0.044,5.40767722569797e-131,"8","HEBP2"
"CFAP361",2.67710543213934e-135,0.395257065606961,0.287,0.038,5.85054621139732e-131,"8","CFAP36"
"FUBP11",3.46718423005932e-135,0.251539188002746,0.269,0.034,7.57718441637164e-131,"8","FUBP1"
"SMAGP",4.1778344913395e-135,0.531002306863917,0.32,0.047,9.13023949737333e-131,"8","SMAGP"
"AL590807.1",4.68761873244856e-135,0.5115865942432,0.291,0.04,1.02443219778931e-130,"8","AL590807.1"
"FAM98C",7.51003476674544e-135,0.346340521148405,0.285,0.038,1.64124299792455e-130,"8","FAM98C"
"MAF11",1.10756332980575e-134,0.297119700212984,0.331,0.05,2.42046890095749e-130,"8","MAF1"
"SH2D3A",1.31093972629236e-134,0.394207498755847,0.26,0.032,2.86492767783932e-130,"8","SH2D3A"
"BTG11",2.79698544799052e-134,0.501779234606536,0.859,0.232,6.11253199803849e-130,"8","BTG1"
"UBXN1",3.77520285344077e-134,0.28077942589247,0.311,0.045,8.25032831590945e-130,"8","UBXN1"
"RPS171",3.82296750361369e-134,0.708579578788974,0.965,0.277,8.35471318239735e-130,"8","RPS17"
"GTF2H3",3.83465446793303e-134,0.346364386564691,0.278,0.036,8.38025387422084e-130,"8","GTF2H3"
"GOLGA21",1.28666826627374e-133,0.347842116258428,0.468,0.094,2.81188482911463e-129,"8","GOLGA2"
"RICTOR",2.37826069874003e-133,0.589581824066043,0.355,0.059,5.19745093102646e-129,"8","RICTOR"
"IRS21",2.62674259107639e-133,0.303110847743736,0.488,0.099,5.74048325853834e-129,"8","IRS2"
"SLIRP1",3.28657349979849e-133,0.374185355579323,0.311,0.046,7.18247772645962e-129,"8","SLIRP"
"DEPDC5",4.25546493342987e-133,0.365232307978778,0.258,0.032,9.29989306551763e-129,"8","DEPDC5"
"BOLA3",9.03435340736195e-133,0.266203138894121,0.294,0.04,1.97436759364488e-128,"8","BOLA3"
"AHI11",9.22591100034199e-133,0.286028880706376,0.309,0.044,2.01623059001474e-128,"8","AHI1"
"HOOK2",1.06843759126972e-132,0.303720848760838,0.294,0.041,2.33496351196084e-128,"8","HOOK2"
"AC135012.11",1.36906844535091e-132,0.646205007820744,0.358,0.059,2.99196218046989e-128,"8","AC135012.1"
"OR4D9",2.98965688142846e-132,0.52711399108603,0.313,0.046,6.53359614867375e-128,"8","OR4D9"
"RPL221",4.54568857281675e-132,0.314032835036155,0.898,0.244,9.93414780703373e-128,"8","RPL22"
"ZCCHC82",1.1671890553665e-131,0.690012137907306,0.389,0.07,2.55077496159795e-127,"8","ZCCHC8"
"PCLAF",1.24764906492782e-131,0.474820508352164,0.327,0.052,2.72661226649326e-127,"8","PCLAF"
"CHDH",1.74450451203539e-131,0.29749219219028,0.3,0.043,3.81244016060213e-127,"8","CHDH"
"EIF2AK4",3.07376836676109e-131,0.310747828695947,0.26,0.032,6.71741338871969e-127,"8","EIF2AK4"
"SNF8",3.19373337785455e-131,0.278280555779585,0.294,0.041,6.97958492396333e-127,"8","SNF8"
"CLIP12",3.5299753399633e-131,0.721695043443342,0.497,0.114,7.7144081079558e-127,"8","CLIP1"
"METTL21A",4.39940943269638e-131,0.467789026389187,0.28,0.038,9.61446937421467e-127,"8","METTL21A"
"SELENOF1",5.10840347959631e-131,0.287422572519417,0.395,0.07,1.11639049643098e-126,"8","SELENOF"
"SUOX",5.27555107703442e-131,0.567432532181204,0.289,0.04,1.1529189323751e-126,"8","SUOX"
"AGT",8.58459512612405e-131,0.620290980713258,0.481,0.097,1.87607741886315e-126,"8","AGT"
"ME2",1.52938742786108e-130,0.424165754177189,0.395,0.072,3.34232328484761e-126,"8","ME2"
"TRAP1",1.60015518720961e-130,0.301594303072042,0.252,0.031,3.49697914612788e-126,"8","TRAP1"
"TXNL11",3.59806434774754e-130,0.335671013971206,0.302,0.043,7.86320982556747e-126,"8","TXNL1"
"JMJD1C",4.16207478094265e-130,0.295567595456488,0.254,0.031,9.09579822627208e-126,"8","JMJD1C"
"LRAT",6.81047214516525e-130,0.389168213012615,0.254,0.031,1.48836058260441e-125,"8","LRAT"
"CPM",7.21856233938801e-130,0.292658049433711,0.362,0.06,1.57754461364986e-125,"8","CPM"
"FBXW5",8.00706709163791e-130,0.305735447231533,0.256,0.032,1.74986444220655e-125,"8","FBXW5"
"DHRS4-AS1",8.98950470212926e-130,0.388666480276317,0.305,0.045,1.96456635760333e-125,"8","DHRS4-AS1"
"UBN2",1.42908955813034e-129,0.343164733628694,0.267,0.035,3.12313232033804e-125,"8","UBN2"
"REL2",1.58570440991953e-129,0.820795369807959,0.561,0.137,3.46539841743814e-125,"8","REL"
"NCBP3",1.81688357579006e-129,0.450735957867769,0.311,0.048,3.97061736653159e-125,"8","NCBP3"
"LSM8",2.75982591578199e-129,0.388763563157819,0.254,0.031,6.03132355634997e-125,"8","LSM8"
"AP006623.11",3.8385553626167e-129,0.552598334179522,0.366,0.063,8.38877888946253e-125,"8","AP006623.1"
"ECI1",4.14739675956665e-129,0.368023461177045,0.265,0.034,9.06372087835695e-125,"8","ECI1"
"MLLT6",6.99028711920797e-129,0.295565671131497,0.291,0.041,1.52765734703171e-124,"8","MLLT6"
"POLR2I",1.06619231733773e-128,0.278622230146741,0.252,0.031,2.33005669030987e-124,"8","POLR2I"
"DGKH",1.10204882288529e-128,0.425137385998453,0.254,0.032,2.40841749753352e-124,"8","DGKH"
"RABGGTB1",1.72264038228754e-128,0.267182942944463,0.274,0.036,3.76465829145118e-124,"8","RABGGTB"
"GGPS1",1.96696997664922e-128,0.311882999132874,0.322,0.05,4.29861618696921e-124,"8","GGPS1"
"DIP2C",2.10089295971197e-128,0.281980897126536,0.344,0.056,4.59129147415455e-124,"8","DIP2C"
"BRIP1",3.01767551273101e-128,0.387025954042244,0.254,0.032,6.59482806552234e-124,"8","BRIP1"
